62 100
2 48 0
64 71 26
33 83 18
77 89 16
96 61 8
53 55 7
38 10 11
7 40 4
7 1 9
73 68 9
4 24 16
82 56 7
30 56 6
38 62 1
42 53 2
5 49 22
1 85 23
94 4 4
50 70 3
35 69 20
14 41 7
94 73 1
23 96 2
96 88 12
74 94 22
68 52 6
73 22 11
92 96 12
4 48 2
24 10 14
52 72 14
61 46 2
38 9 9
90 15 20
58 41 2
93 41 18
8 74 19
13 87 18
34 68 4
84 97 16
35 20 26
96 79 3
73 87 23
21 1 16
28 93 10
55 94 9
56 84 21
68 99 24
30 53 24
85 49 19
85 2 12
0 30 16
12 71 6
26 55 2
72 75 2
71 21 2
33 49 23
51 2 16
93 7 26
70 22 21
54 53 2
26 17 7
